metric,value
raw_rows,6198063
cancelled_rows_removed,25
missing_supplier_rows_removed,1912550
missing_award_date_rows_removed,47503
invalid_date_parse_rows,0
out_of_scope_or_invalid_year_rows_removed,95168
after_cleaning,4142817
exact_duplicate_rows_removed,80755
duplicated_id_award_groups,110
safe_id_award_groups_deduped,110
conflicting_id_award_groups_flagged,0
safe_groups_with_ambiguous_crit_code,97
rows_removed_safe_id_award_dedup,110
after_dedup,4061952
n_missing_award_value,55558
n_missing_supplier_clean,0
n_missing_crit_code_after_dedup,263754
