metric,value
suppliers_total_profile,921372
suppliers_complete_for_clustering,895320
share_complete_for_clustering,0.971724775660645
silhouette_sample_n,5000
silhouette_reps,3
final_k,5
robust_same_k,5
robust_alt_k,4
low_value_threshold,100
cluster_id_anchor_var,median_contract_value
kmeans_algorithm,Lloyd
kmeans_nstart_diag,10
kmeans_nstart_final,50
kmeans_iter_max,200
diag_retry_max_tries,5
diag_retry_seed_step,1000
diag_total_retry_events,0
diag_share_runs_with_retry,0
suppliers_excluded_low_value_robustness,59883
suppliers_in_robustness_clustering,835437
share_low_value_excluded,0.066884465889291
suppliers_median_contract_value_eq1,22996
suppliers_median_contract_value_le100,60341
share_median_contract_value_eq1,0.0254039656964714
share_median_contract_value_le100,0.0666594492125058
mean_coverage_value,0.979942411968239
mean_coverage_cross_border,0.988159433250992
mean_coverage_hhi,1
mean_coverage_buyer_countries,1
