TOP_TYPE,CRIT_CODE,n,share_within_proc
AWP,M,29250,51.6064
AWP,L,21936,38.7022
AWP,NA,5493,9.6914
COD,M,2768,67.4793
COD,L,1013,24.6953
COD,NA,321,7.8255
INP,L,868,58.6883
INP,M,529,35.7674
INP,NA,82,5.5443
NIC,M,81286,47.8265
NIC,NA,48797,28.7109
NIC,L,39877,23.4626
NIP,M,3066,49.7808
NIP,L,2344,38.0581
NIP,NA,749,12.1611
NOC,L,83120,76.201
NOC,M,19298,17.6916
NOC,NA,6662,6.1074
NOP,L,3076,65.952
NOP,NA,1284,27.53
NOP,M,304,6.518
OPE,L,1727599,48.8783
OPE,M,1628923,46.0865
OPE,NA,177966,5.0351
RES,L,87697,52.6509
RES,M,65204,39.1467
RES,NA,13662,8.2023
NA,NA,8647,98.3955
NA,M,100,1.1379
NA,L,41,0.4665
