metric,value
panel_rows,1340760
unique_suppliers,921372
years_covered,6
consortium_rows,185731
missing_total_award_value,23636
missing_avg_award_value,23636
missing_distinct_buyers,0
missing_distinct_buyer_countries,0
missing_specialization_share,0
missing_win_country_code,11773
missing_price_criteria_share,92540
rows_with_supplier_country_conflict,4707
rows_with_unexpected_crit_code,0
award_rows_win_country_missing_blank,7983
award_rows_win_country_accepted_iso2,3916651
award_rows_win_country_accepted_special_case,126397
award_rows_win_country_invalid_unresolved,10921
