metric,value
panel_rows_input,1340760
rows_count_baseline,1328987
rows_value_baseline,1306143
rows_count_extended,1238169
rows_value_extended,1226050
rows_count_robustness_ge2,439456
rows_value_robustness_ge2,437016
rows_value_trimmed_p99,1213793
unique_suppliers_count_baseline,910781
unique_suppliers_value_baseline,895318
unique_suppliers_count_extended,848610
unique_suppliers_value_extended,840310
unique_suppliers_count_robustness_ge2,265384
unique_suppliers_value_robustness_ge2,263703
unique_suppliers_value_trimmed_p99,834031
countries_count_baseline,182
countries_value_baseline,180
countries_count_extended,177
countries_value_extended,177
years_count_baseline,6
years_value_baseline,6
procedures_count_extended,10
procedures_value_extended,10
unknown_procedure_share_count_extended,6.784211202186454e-5
unknown_procedure_share_value_extended,6.769707597569431e-5
missing_total_award_value_input,23636
missing_price_criteria_share_input,92540
value_trim_quantile,0.99
value_trim_cutoff,85443795.07
