rep,k,mean_silhouette,kmeans_seed_used,kmeans_attempts,retry_used
1,2,0.5643807382418157,5102,1,FALSE
1,3,0.44357301861102666,5103,1,FALSE
1,4,0.47272488760064085,5104,1,FALSE
1,5,0.48231657685157237,5105,1,FALSE
1,6,0.5282792767387282,5106,1,FALSE
1,7,0.5361361757963861,6107,2,TRUE
1,8,0.5481079241426018,5108,1,FALSE
2,2,0.5459621294248194,5202,1,FALSE
2,3,0.4443432134447766,5203,1,FALSE
2,4,0.48929242900032455,5204,1,FALSE
2,5,0.5214404203631723,5205,1,FALSE
2,6,0.5424750442508011,5206,1,FALSE
2,7,0.48988642881360717,5207,1,FALSE
2,8,0.5542042336338838,5208,1,FALSE
3,2,0.8817811490306376,5302,1,FALSE
3,3,0.4251302038061806,5303,1,FALSE
3,4,0.4609915366099976,5304,1,FALSE
3,5,0.5035031259840079,5305,1,FALSE
3,6,0.528112537424648,5306,1,FALSE
3,7,0.5314530180750069,5307,1,FALSE
3,8,0.540230116598714,5308,1,FALSE
