country_fe,n_supplier_years,sd_is_consortium,zero_within_variance
AD,14,0,TRUE
AE,75,0,TRUE
AF,10,0,TRUE
AG,1,NA,TRUE
AI,5,0,TRUE
AL,29,0,TRUE
AM,8,0.3535533905932738,FALSE
AO,2,0,TRUE
AR,5,0,TRUE
AT,16594,0.2661458867784012,FALSE
AU,81,0,TRUE
AW,1,NA,TRUE
AX,34,0.23883257361061283,FALSE
AZ,7,0,TRUE
BA,33,0.33143398263980844,FALSE
BB,1,NA,TRUE
BD,3,0,TRUE
BE,20160,0.2845186855881659,FALSE
BF,12,0,TRUE
BG,27604,0.270267869495044,FALSE
BH,1,NA,TRUE
BI,5,0,TRUE
BJ,3,0,TRUE
BM,3,0,TRUE
BN,2,0,TRUE
BO,2,0,TRUE
BQ,1,NA,TRUE
BR,33,0,TRUE
BT,5,0,TRUE
BY,15,0,TRUE
BZ,1,NA,TRUE
CA,365,0.07392157070222159,FALSE
CD,1,NA,TRUE
CH,13590,0.2754502933383706,FALSE
CI,3,0,TRUE
CL,17,0,TRUE
CN,366,0.09028736218343444,FALSE
CO,21,0.21821789023599236,FALSE
CR,2,0,TRUE
CU,1,NA,TRUE
CW,4,0,TRUE
CY,1845,0.1109837667987393,FALSE
CZ,37962,0.3335614837574324,FALSE
DE,178370,0.17864858127105043,FALSE
DJ,2,0,TRUE
DK,15477,0.18318046184183184,FALSE
DZ,1,NA,TRUE
EC,1,NA,TRUE
EE,7803,0.2538172448218704,FALSE
EG,23,0,TRUE
ES,99860,0.18864426379206942,FALSE
ET,5,0,TRUE
FI,22288,0.44066415524854996,FALSE
FK,5,0,TRUE
FM,1,NA,TRUE
FO,4,0,TRUE
FR,271431,0.35482730054160094,FALSE
GA,5,0,TRUE
GE,17,0.24253562503633297,FALSE
GF,1,NA,TRUE
GG,2,0,TRUE
GH,7,0,TRUE
GI,4,0,TRUE
GL,2,0,TRUE
GN,2,0,TRUE
GP,25,0.2,FALSE
GR,22290,0.18501078474090782,FALSE
GT,3,0,TRUE
GU,1,NA,TRUE
GY,9,0,TRUE
HK,62,0,TRUE
HN,1,NA,TRUE
HR,10066,0.41800480516793687,FALSE
HU,16640,0.3984713359126001,FALSE
ID,10,0.31622776601683794,FALSE
IE,11649,0.17048333465978535,FALSE
IL,141,0,TRUE
IM,1,NA,TRUE
IN,117,0.09245003270420485,FALSE
IQ,13,0,TRUE
IR,2,0,TRUE
IS,1462,0.16515440931875036,FALSE
IT,64430,0.4237005278922997,FALSE
JE,1,NA,TRUE
JO,19,0.22941573387056177,FALSE
JP,78,0,TRUE
KE,29,0,TRUE
KG,1,NA,TRUE
KH,3,0,TRUE
KP,5,0,TRUE
KR,61,0.21803894974650143,FALSE
KZ,5,0,TRUE
LB,28,0,TRUE
LI,198,0.1718543507124302,FALSE
LK,2,0,TRUE
LR,7,0,TRUE
LT,17924,0.20894546526606475,FALSE
LU,3124,0.19375091161346483,FALSE
LV,16182,0.15413202789867525,FALSE
MA,19,0,TRUE
MC,47,0.14586499149789456,FALSE
MD,19,0,TRUE
ME,7,0,TRUE
MF,1,NA,TRUE
MG,2,0,TRUE
MH,1,NA,TRUE
MK,3499,0.12769516666466524,FALSE
ML,3,0,TRUE
MM,2,0,TRUE
MO,1,NA,TRUE
MQ,46,0.24963741822833801,FALSE
MS,1,NA,TRUE
MT,1786,0.2044237717422556,FALSE
MU,10,0,TRUE
MW,1,NA,TRUE
MX,14,0,TRUE
MY,20,0,TRUE
NE,2,0,TRUE
NG,13,0,TRUE
NI,1,NA,TRUE
NL,31828,0.32707251380363017,FALSE
NO,15338,0.2074238968103714,FALSE
NP,3,0,TRUE
NZ,24,0,TRUE
OM,3,0,TRUE
PA,5,0,TRUE
PE,3,0,TRUE
PF,1,NA,TRUE
PG,1,NA,TRUE
PH,10,0,TRUE
PK,3,0,TRUE
PL,185818,0.3633117904181662,FALSE
PM,3,0,TRUE
PN,1,NA,TRUE
PR,4,0,TRUE
PS,3,0,TRUE
PT,18941,0.20888471388732657,FALSE
QA,3,0,TRUE
RE,90,0.4321649474711266,FALSE
RO,59718,0.4959557103919476,FALSE
RS,65,0.2421855614066333,FALSE
RU,72,0,TRUE
RW,3,0,TRUE
SA,3,0,TRUE
SC,3,0,TRUE
SD,6,0,TRUE
SE,43830,0.06142558296631865,FALSE
SG,62,0,TRUE
SI,22671,0.4987312621583434,FALSE
SK,7971,0.20904463565952586,FALSE
SL,3,0,TRUE
SM,22,0,TRUE
SN,4,0,TRUE
SR,6,0,TRUE
SY,1,NA,TRUE
SZ,2,0,TRUE
TC,1,NA,TRUE
TG,2,0,TRUE
TH,12,0,TRUE
TJ,3,0,TRUE
TN,22,0,TRUE
TR,141,0.2453209547117178,FALSE
TT,1,NA,TRUE
TW,20,0,TRUE
TZ,7,0,TRUE
UA,81,0.15614965913950218,FALSE
UG,13,0,TRUE
UK,55942,0.4151981647419501,FALSE
UM,5,0,TRUE
US,1753,0.0477273027500918,FALSE
UY,4,0,TRUE
UZ,1,NA,TRUE
VA,10,0,TRUE
VE,10,0,TRUE
VG,4,0,TRUE
VN,17,0,TRUE
VU,8,0,TRUE
WF,1,NA,TRUE
YT,26,0.19611613513818404,FALSE
ZA,50,0,TRUE
ZM,6,0,TRUE
ZW,1,NA,TRUE
