variable,n,mean,sd,median,min,max
awards_count,1340760,3.029589188221605,22.34449451914071,1,1,7529
total_award_value,1317124,546524778.0857062,89524219462.76329,253904.62,0.01,40000000071052.99
avg_award_value,1317124,277299793.1685886,44520040315.15232,171874.925,0.01,9999999999999.99
distinct_buyers,1340760,1.6587480235090544,4.257554425226151,1,1,364
distinct_buyer_countries,1340760,1.0086286882066888,0.1214587263889505,1,1,13
cross_border_share,1328987,0.02664284260423717,0.1581943180551334,0,0,1
distinct_cpv_divisions,1340760,1.0962767385661862,0.4103242471892934,1,1,18
specialization_share,1340760,0.974376381730945,0.10222513735817783,1,0.13953488372093023,1
hhi_cpv,1340760,0.969087307142633,0.11822523304161751,1,0.08274743104380747,1
years_active,1340760,2.1551836271965157,1.5521336668596444,1,1,6
award_frequency,1340760,3.029589188221605,19.977707250927743,1,1,3037.3333333333335
price_criteria_share,1248220,0.4227223971644466,0.47899315390729896,0,0,1
is_consortium,1340760,0.13852665652316648,0.3454520385853022,0,0,1
