"part","term","statistic","Awards: Baseline matched","Awards: + Price criterion","Awards: + Procedure FE","Value: Baseline matched","Value: + Price criterion","Value: + Procedure FE"
"estimates","Buyer diversification","estimate","0.243***","0.243***","0.243***","0.328***","0.329***","0.330***"
"estimates","Buyer diversification","std.error","(0.011)","(0.011)","(0.011)","(0.018)","(0.018)","(0.018)"
"estimates","Buyer-country diversification","estimate","0.019***","0.019***","0.020***","0.106***","0.106***","0.105***"
"estimates","Buyer-country diversification","std.error","(0.001)","(0.001)","(0.001)","(0.004)","(0.004)","(0.004)"
"estimates","Cross-border share","estimate","-0.014***","-0.014***","-0.012***","0.026***","0.027***","0.018***"
"estimates","Cross-border share","std.error","(0.000)","(0.000)","(0.000)","(0.005)","(0.005)","(0.005)"
"estimates","Sector concentration (HHI)","estimate","-0.095***","-0.095***","-0.095***","-0.361***","-0.359***","-0.354***"
"estimates","Sector concentration (HHI)","std.error","(0.001)","(0.001)","(0.001)","(0.003)","(0.003)","(0.003)"
"estimates","Years active","estimate","0.197***","0.197***","0.196***","0.352***","0.356***","0.360***"
"estimates","Years active","std.error","(0.002)","(0.002)","(0.002)","(0.006)","(0.006)","(0.006)"
"estimates","Price criterion share","estimate","","0.011***","0.015***","","-0.228***","-0.201***"
"estimates","Price criterion share","std.error","","(0.001)","(0.001)","","(0.004)","(0.004)"
"gof","N","","1238138","1238138","1238138","1226019","1226019","1226019"
"gof","Adj. R2","","0.479","0.480","0.482","0.144","0.147","0.151"
"gof","RMSE","","0.430","0.430","0.429","3.417","3.411","3.403"
