"part","term","statistic","Awards Count (1)","Awards Count (2)","Total Value (1)","Total Value (2)"
"estimates","(Intercept)","estimate","0.998***","","11.428***",""
"estimates","(Intercept)","std.error","(0.001)","","(0.005)",""
"estimates","z_distinct_buyers","estimate","0.239***","0.239***","0.315***","0.315***"
"estimates","z_distinct_buyers","std.error","(0.000)","(0.000)","(0.004)","(0.004)"
"estimates","z_distinct_buyer_countries","estimate","0.015***","0.015***","0.122***","0.122***"
"estimates","z_distinct_buyer_countries","std.error","(0.000)","(0.000)","(0.004)","(0.004)"
"estimates","z_cross_border_share","estimate","-0.032***","-0.032***","-0.002","0.009"
"estimates","z_cross_border_share","std.error","(0.001)","(0.001)","(0.008)","(0.008)"
"estimates","z_specialization_share","estimate","0.508***","0.508***","0.831***","0.828***"
"estimates","z_specialization_share","std.error","(0.002)","(0.002)","(0.021)","(0.021)"
"estimates","z_hhi_cpv","estimate","-0.602***","-0.601***","-1.265***","-1.261***"
"estimates","z_hhi_cpv","std.error","(0.002)","(0.002)","(0.021)","(0.021)"
"estimates","z_years_active","estimate","0.184***","0.184***","0.323***","0.321***"
"estimates","z_years_active","std.error","(0.000)","(0.000)","(0.004)","(0.004)"
"estimates","is_consortium","estimate","0.061***","0.061***","0.959***","0.929***"
"estimates","is_consortium","std.error","(0.002)","(0.002)","(0.023)","(0.023)"
"gof","Num.Obs.","","1340761","1340761","1340761","1340761"
"gof","R2","","0.472","0.472","0.042","0.044"
"gof","R2 Adj.","","0.472","0.472","0.042","0.044"
"gof","R2 Within","","","0.472","","0.042"
"gof","R2 Within Adj.","","","0.472","","0.042"
"gof","AIC","","1533195.3","1533005.2","7503232.7","7500617.2"
"gof","BIC","","1533292.1","1533162.6","7503329.5","7500774.6"
"gof","RMSE","","0.43","0.43","3.97","3.97"
"gof","FE: year_fe","","","X","","X"
