"part","term","statistic","Awards Count Robustness (>=2 awards, + Procedure FE)","Total Value Robustness (>=2 awards, + Procedure FE)","Total Value Robustness (top 1% trimmed, + Procedure FE)"
"estimates","Buyer diversification","estimate","0.204***","0.263***","0.337***"
"estimates","Buyer diversification","std.error","(0.009)","(0.014)","(0.020)"
"estimates","Buyer-country diversification","estimate","0.013***","0.088***","0.100***"
"estimates","Buyer-country diversification","std.error","(0.001)","(0.004)","(0.004)"
"estimates","Cross-border share","estimate","-0.019***","-0.042***","0.025***"
"estimates","Cross-border share","std.error","(0.001)","(0.010)","(0.005)"
"estimates","Sector concentration (HHI)","estimate","-0.008***","-0.221***","-0.339***"
"estimates","Sector concentration (HHI)","std.error","(0.001)","(0.003)","(0.003)"
"estimates","Years active","estimate","0.159***","0.471***","0.353***"
"estimates","Years active","std.error","(0.003)","(0.007)","(0.006)"
"estimates","Price criterion share","estimate","0.028***","-0.199***","-0.195***"
"estimates","Price criterion share","std.error","(0.001)","(0.008)","(0.004)"
"gof","N","","439428","436988","1213762"
"gof","Adj. R2","","0.441","0.189","0.148"
"gof","RMSE","","0.514","3.073","3.348"
